ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
AMZN,1997-06-27,18.19,18.19,17.75,17.88,99000.0,0.0,1.0,1.5158333333333334,1.5158333333333334,1.4791666666666665,1.4899999999999998,1188000.0
AMZN,1997-06-30,18.13,19.19,17.75,18.5,228900.0,0.0,1.0,1.5108333333333333,1.5991666666666666,1.4791666666666665,1.5416666666666665,2746800.0
AMZN,1997-07-01,18.5,18.5,18.13,18.19,107700.0,0.0,1.0,1.5416666666666665,1.5416666666666665,1.5108333333333333,1.5158333333333334,1292400.0
AMZN,1997-07-02,18.44,19.13,18.13,19.06,323500.0,0.0,1.0,1.5366666666666666,1.5941666666666665,1.5108333333333333,1.5883333333333332,3882000.0
AMZN,1997-07-03,19.63,23.0,19.13,22.94,1048100.0,0.0,1.0,1.6358333333333333,1.9166666666666665,1.5941666666666665,1.9116666666666666,12577200.0
AMZN,1997-07-07,22.0,24.25,22.0,24.0,671100.0,0.0,1.0,1.8333333333333333,2.020833333333333,1.8333333333333333,2.0,8053200.0
AMZN,1997-07-08,24.5,28.0,24.5,27.63,1293100.0,0.0,1.0,2.0416666666666665,2.333333333333333,2.0416666666666665,2.3024999999999998,15517200.0
AMZN,1997-07-09,27.63,28.63,27.25,27.88,688500.0,0.0,1.0,2.3024999999999998,2.3858333333333333,2.270833333333333,2.3233333333333333,8262000.0
AMZN,1997-07-10,28.38,28.63,28.0,28.5,754300.0,0.0,1.0,2.3649999999999998,2.3858333333333333,2.333333333333333,2.375,9051600.0
AMZN,1997-07-11,28.38,30.25,26.5,28.0,877600.0,0.0,1.0,2.3649999999999998,2.520833333333333,2.208333333333333,2.333333333333333,10531200.0
AMZN,1997-07-14,27.75,28.0,26.13,26.5,383700.0,0.0,1.0,2.3125,2.333333333333333,2.1774999999999998,2.208333333333333,4604400.0
AMZN,1997-07-15,26.25,28.75,25.63,28.63,772900.0,0.0,1.0,2.1875,2.395833333333333,2.1358333333333333,2.3858333333333333,9274800.0
AMZN,1997-07-16,29.38,29.94,27.63,28.0,252000.0,0.0,1.0,2.4483333333333333,2.495,2.3024999999999998,2.333333333333333,3024000.0
AMZN,1997-07-17,27.13,28.13,26.63,26.88,264100.0,0.0,1.0,2.2608333333333333,2.3441666666666663,2.2191666666666663,2.2399999999999998,3169200.0
AMZN,1997-07-18,26.25,26.63,25.88,25.88,65000.0,0.0,1.0,2.1875,2.2191666666666663,2.1566666666666663,2.1566666666666663,780000.0
AMZN,1997-07-21,26.13,26.38,25.75,26.13,47900.0,0.0,1.0,2.1774999999999998,2.1983333333333333,2.145833333333333,2.1774999999999998,574800.0
AMZN,1997-07-22,26.0,26.25,24.75,25.63,130300.0,0.0,1.0,2.1666666666666665,2.1875,2.0625,2.1358333333333333,1563600.0
AMZN,1997-07-23,26.25,27.25,26.13,27.19,271600.0,0.0,1.0,2.1875,2.270833333333333,2.1774999999999998,2.265833333333333,3259200.0
AMZN,1997-07-24,27.63,27.75,26.63,27.13,101400.0,0.0,1.0,2.3024999999999998,2.3125,2.2191666666666663,2.2608333333333333,1216800.0
AMZN,1997-07-25,26.75,27.0,26.63,26.75,51700.0,0.0,1.0,2.2291666666666665,2.25,2.2191666666666663,2.2291666666666665,620400.0
AMZN,1997-07-28,26.75,27.63,26.63,27.5,214500.0,0.0,1.0,2.2291666666666665,2.3024999999999998,2.2191666666666663,2.2916666666666665,2574000.0
AMZN,1997-07-29,28.38,28.88,28.0,28.63,401200.0,0.0,1.0,2.3649999999999998,2.4066666666666663,2.333333333333333,2.3858333333333333,4814400.0
AMZN,1997-07-30,28.38,30.0,28.0,29.75,209800.0,0.0,1.0,2.3649999999999998,2.5,2.333333333333333,2.4791666666666665,2517600.0
AMZN,1997-07-31,29.25,29.25,28.0,28.75,121200.0,0.0,1.0,2.4375,2.4375,2.333333333333333,2.395833333333333,1454400.0
AMZN,1997-08-01,28.13,29.0,27.0,29.0,299000.0,0.0,1.0,2.3441666666666663,2.4166666666666665,2.25,2.4166666666666665,3588000.0
AMZN,1997-08-04,28.5,28.94,27.63,27.75,222600.0,0.0,1.0,2.375,2.4116666666666666,2.3024999999999998,2.3125,2671200.0
AMZN,1997-08-05,27.75,28.0,25.75,26.5,252700.0,0.0,1.0,2.3125,2.333333333333333,2.145833333333333,2.208333333333333,3032400.0
AMZN,1997-08-06,26.5,27.75,26.25,27.0,103600.0,0.0,1.0,2.208333333333333,2.3125,2.1875,2.25,1243200.0
AMZN,1997-08-07,27.0,27.13,25.5,26.13,169500.0,0.0,1.0,2.25,2.2608333333333333,2.125,2.1774999999999998,2034000.0
